r,t,e,y,AnnualTechnologyEmission
"Greece","GRMHYDMS03","RETarget",2042,0
"Greece","GRMHYDMS03","RETarget",2043,0
"Greece","GRMHYDMS03","RETarget",2044,0
"Greece","GRMHYDMS03","RETarget",2045,0
"Greece","GRMHYDMS03","RETarget",2046,0
"Greece","GRMHYDMS03","RETarget",2047,0
"Greece","GRMHYDMS03","RETarget",2048,0
"Greece","GRMHYDMS03","RETarget",2049,0
"Greece","GRMHYDMS03","RETarget",2050,0
"Greece","GRMHYDMS03","MAR",2019,0
"Greece","GRMHYDMS03","MAR",2020,0
"Greece","GRMHYDMS03","MAR",2021,0
"Greece","GRMHYDMS03","MAR",2022,0
"Greece","GRMHYDMS03","MAR",2023,0
"Greece","GRMHYDMS03","MAR",2024,0
"Greece","GRMHYDMS03","MAR",2025,0
"Greece","GRMHYDMS03","MAR",2026,0
"Greece","GRMHYDMS03","MAR",2027,0
"Greece","GRMHYDMS03","MAR",2028,0
"Greece","GRMHYDMS03","MAR",2029,0
"Greece","GRMHYDMS03","MAR",2030,0
"Greece","GRMHYDMS03","MAR",2031,0
"Greece","GRMHYDMS03","MAR",2032,0
"Greece","GRMHYDMS03","MAR",2033,0
"Greece","GRMHYDMS03","MAR",2034,0
"Greece","GRMHYDMS03","MAR",2035,0
"Greece","GRMHYDMS03","MAR",2036,0
"Greece","GRMHYDMS03","MAR",2037,0
"Greece","GRMHYDMS03","MAR",2038,0
"Greece","GRMHYDMS03","MAR",2039,0
"Greece","GRMHYDMS03","MAR",2040,0
"Greece","GRMHYDMS03","MAR",2041,0
"Greece","GRMHYDMS03","MAR",2042,0
"Greece","GRMHYDMS03","MAR",2043,0
"Greece","GRMHYDMS03","MAR",2044,0
"Greece","GRMHYDMS03","MAR",2045,0
"Greece","GRMHYDMS03","MAR",2046,0
"Greece","GRMHYDMS03","MAR",2047,0
"Greece","GRMHYDMS03","MAR",2048,0
"Greece","GRMHYDMS03","MAR",2049,0
"Greece","GRMHYDMS03","MAR",2050,0
"Greece","GRMNGCCP00","CO2",2019,0
"Greece","GRMNGCCP00","CO2",2020,0
"Greece","GRMNGCCP00","CO2",2021,0
"Greece","GRMNGCCP00","CO2",2022,0
"Greece","GRMNGCCP00","CO2",2023,0
"Greece","GRMNGCCP00","CO2",2024,0
"Greece","GRMNGCCP00","CO2",2025,0
"Greece","GRMNGCCP00","CO2",2026,0
"Greece","GRMNGCCP00","CO2",2027,0
"Greece","GRMNGCCP00","CO2",2028,0
"Greece","GRMNGCCP00","CO2",2029,0
"Greece","GRMNGCCP00","CO2",2030,0
"Greece","GRMNGCCP00","CO2",2031,0
"Greece","GRMNGCCP00","CO2",2032,0
"Greece","GRMNGCCP00","CO2",2033,0
"Greece","GRMNGCCP00","CO2",2034,0
"Greece","GRMNGCCP00","CO2",2035,0
"Greece","GRMNGCCP00","CO2",2036,0
"Greece","GRMNGCCP00","CO2",2037,0
"Greece","GRMNGCCP00","CO2",2038,0
"Greece","GRMNGCCP00","CO2",2039,0
"Greece","GRMNGCCP00","CO2",2040,0
"Greece","GRMNGCCP00","CO2",2041,0
"Greece","GRMNGCCP00","CO2",2042,0
"Greece","GRMNGCCP00","CO2",2043,0
"Greece","GRMNGCCP00","CO2",2044,0
"Greece","GRMNGCCP00","CO2",2045,0
"Greece","GRMNGCCP00","CO2",2046,0
"Greece","GRMNGCCP00","CO2",2047,0
"Greece","GRMNGCCP00","CO2",2048,0
"Greece","GRMNGCCP00","CO2",2049,0
"Greece","GRMNGCCP00","CO2",2050,0
"Greece","GRMNGCCP00","RETarget",2019,0
"Greece","GRMNGCCP00","RETarget",2020,0
"Greece","GRMNGCCP00","RETarget",2021,0
"Greece","GRMNGCCP00","RETarget",2022,0
"Greece","GRMNGCCP00","RETarget",2023,0
"Greece","GRMNGCCP00","RETarget",2024,0
"Greece","GRMNGCCP00","RETarget",2025,0
"Greece","GRMNGCCP00","RETarget",2026,0
"Greece","GRMNGCCP00","RETarget",2027,0
"Greece","GRMNGCCP00","RETarget",2028,0
"Greece","GRMNGCCP00","RETarget",2029,0
"Greece","GRMNGCCP00","RETarget",2030,0
"Greece","GRMNGCCP00","RETarget",2031,0
"Greece","GRMNGCCP00","RETarget",2032,0
"Greece","GRMNGCCP00","RETarget",2033,0
"Greece","GRMNGCCP00","RETarget",2034,0
"Greece","GRMNGCCP00","RETarget",2035,0
"Greece","GRMNGCCP00","RETarget",2036,0
"Greece","GRMNGCCP00","RETarget",2037,0
"Greece","GRMNGCCP00","RETarget",2038,0
"Greece","GRMNGCCP00","RETarget",2039,0
"Greece","GRMNGCCP00","RETarget",2040,0
"Greece","GRMNGCCP00","RETarget",2041,0
"Greece","GRMNGCCP00","RETarget",2042,0
"Greece","GRMNGCCP00","RETarget",2043,0
"Greece","GRMNGCCP00","RETarget",2044,0
"Greece","GRMNGCCP00","RETarget",2045,0
"Greece","GRMNGCCP00","RETarget",2046,0
"Greece","GRMNGCCP00","RETarget",2047,0
"Greece","GRMNGCCP00","RETarget",2048,0
"Greece","GRMNGCCP00","RETarget",2049,0
"Greece","GRMNGCCP00","RETarget",2050,0
"Greece","GRMNGCCP00","MAR",2019,0
"Greece","GRMNGCCP00","MAR",2020,0
"Greece","GRMNGCCP00","MAR",2021,0
"Greece","GRMNGCCP00","MAR",2022,0
"Greece","GRMNGCCP00","MAR",2023,0
"Greece","GRMNGCCP00","MAR",2024,0
"Greece","GRMNGCCP00","MAR",2025,0
"Greece","GRMNGCCP00","MAR",2026,0
"Greece","GRMNGCCP00","MAR",2027,0
"Greece","GRMNGCCP00","MAR",2028,0
"Greece","GRMNGCCP00","MAR",2029,0
"Greece","GRMNGCCP00","MAR",2030,0
"Greece","GRMNGCCP00","MAR",2031,0
"Greece","GRMNGCCP00","MAR",2032,0
"Greece","GRMNGCCP00","MAR",2033,0
"Greece","GRMNGCCP00","MAR",2034,0
"Greece","GRMNGCCP00","MAR",2035,0
"Greece","GRMNGCCP00","MAR",2036,0
"Greece","GRMNGCCP00","MAR",2037,0
"Greece","GRMNGCCP00","MAR",2038,0
"Greece","GRMNGCCP00","MAR",2039,0
"Greece","GRMNGCCP00","MAR",2040,0
"Greece","GRMNGCCP00","MAR",2041,0
"Greece","GRMNGCCP00","MAR",2042,0
"Greece","GRMNGCCP00","MAR",2043,0
"Greece","GRMNGCCP00","MAR",2044,0
"Greece","GRMNGCCP00","MAR",2045,0
"Greece","GRMNGCCP00","MAR",2046,0
"Greece","GRMNGCCP00","MAR",2047,0
"Greece","GRMNGCCP00","MAR",2048,0
"Greece","GRMNGCCP00","MAR",2049,0
"Greece","GRMNGCCP00","MAR",2050,0
"Greece","GRMNGGCP00","CO2",2019,0
"Greece","GRMNGGCP00","CO2",2020,0
"Greece","GRMNGGCP00","CO2",2021,0
"Greece","GRMNGGCP00","CO2",2022,0
"Greece","GRMNGGCP00","CO2",2023,0
"Greece","GRMNGGCP00","CO2",2024,0
"Greece","GRMNGGCP00","CO2",2025,0
"Greece","GRMNGGCP00","CO2",2026,0
"Greece","GRMNGGCP00","CO2",2027,0
"Greece","GRMNGGCP00","CO2",2028,0
"Greece","GRMNGGCP00","CO2",2029,0
"Greece","GRMNGGCP00","CO2",2030,0
"Greece","GRMNGGCP00","CO2",2031,0
"Greece","GRMNGGCP00","CO2",2032,0
"Greece","GRMNGGCP00","CO2",2033,0
"Greece","GRMNGGCP00","CO2",2034,0
"Greece","GRMNGGCP00","CO2",2035,0
"Greece","GRMNGGCP00","CO2",2036,0
"Greece","GRMNGGCP00","CO2",2037,0
"Greece","GRMNGGCP00","CO2",2038,0
"Greece","GRMNGGCP00","CO2",2039,0
"Greece","GRMNGGCP00","CO2",2040,0
"Greece","GRMNGGCP00","CO2",2041,0
"Greece","GRMNGGCP00","CO2",2042,0
"Greece","GRMNGGCP00","CO2",2043,0
"Greece","GRMNGGCP00","CO2",2044,0
"Greece","GRMNGGCP00","CO2",2045,0
"Greece","GRMNGGCP00","CO2",2046,0
"Greece","GRMNGGCP00","CO2",2047,0
"Greece","GRMNGGCP00","CO2",2048,0
"Greece","GRMNGGCP00","CO2",2049,0
"Greece","GRMNGGCP00","CO2",2050,0
"Greece","GRMNGGCP00","RETarget",2019,0
"Greece","GRMNGGCP00","RETarget",2020,0
"Greece","GRMNGGCP00","RETarget",2021,0
"Greece","GRMNGGCP00","RETarget",2022,0
"Greece","GRMNGGCP00","RETarget",2023,0
"Greece","GRMNGGCP00","RETarget",2024,0
"Greece","GRMNGGCP00","RETarget",2025,0
"Greece","GRMNGGCP00","RETarget",2026,0
"Greece","GRMNGGCP00","RETarget",2027,0
"Greece","GRMNGGCP00","RETarget",2028,0
"Greece","GRMNGGCP00","RETarget",2029,0
"Greece","GRMNGGCP00","RETarget",2030,0
"Greece","GRMNGGCP00","RETarget",2031,0
"Greece","GRMNGGCP00","RETarget",2032,0
"Greece","GRMNGGCP00","RETarget",2033,0
"Greece","GRMNGGCP00","RETarget",2034,0
"Greece","GRMNGGCP00","RETarget",2035,0
"Greece","GRMNGGCP00","RETarget",2036,0
"Greece","GRMNGGCP00","RETarget",2037,0
"Greece","GRMNGGCP00","RETarget",2038,0
"Greece","GRMNGGCP00","RETarget",2039,0
"Greece","GRMNGGCP00","RETarget",2040,0
"Greece","GRMNGGCP00","RETarget",2041,0
"Greece","GRMNGGCP00","RETarget",2042,0
"Greece","GRMNGGCP00","RETarget",2043,0
"Greece","GRMNGGCP00","RETarget",2044,0
"Greece","GRMNGGCP00","RETarget",2045,0
"Greece","GRMNGGCP00","RETarget",2046,0
"Greece","GRMNGGCP00","RETarget",2047,0
"Greece","GRMNGGCP00","RETarget",2048,0
"Greece","GRMNGGCP00","RETarget",2049,0
"Greece","GRMNGGCP00","RETarget",2050,0
"Greece","GRMNGGCP00","MAR",2019,0
"Greece","GRMNGGCP00","MAR",2020,0
"Greece","GRMNGGCP00","MAR",2021,0
"Greece","GRMNGGCP00","MAR",2022,0
"Greece","GRMNGGCP00","MAR",2023,0
"Greece","GRMNGGCP00","MAR",2024,0
"Greece","GRMNGGCP00","MAR",2025,0
"Greece","GRMNGGCP00","MAR",2026,0
"Greece","GRMNGGCP00","MAR",2027,0
"Greece","GRMNGGCP00","MAR",2028,0
"Greece","GRMNGGCP00","MAR",2029,0
"Greece","GRMNGGCP00","MAR",2030,0
"Greece","GRMNGGCP00","MAR",2031,0
"Greece","GRMNGGCP00","MAR",2032,0
"Greece","GRMNGGCP00","MAR",2033,0
"Greece","GRMNGGCP00","MAR",2034,0
"Greece","GRMNGGCP00","MAR",2035,0
"Greece","GRMNGGCP00","MAR",2036,0
"Greece","GRMNGGCP00","MAR",2037,0
"Greece","GRMNGGCP00","MAR",2038,0
"Greece","GRMNGGCP00","MAR",2039,0
"Greece","GRMNGGCP00","MAR",2040,0
"Greece","GRMNGGCP00","MAR",2041,0
"Greece","GRMNGGCP00","MAR",2042,0
"Greece","GRMNGGCP00","MAR",2043,0
"Greece","GRMNGGCP00","MAR",2044,0
"Greece","GRMNGGCP00","MAR",2045,0
"Greece","GRMNGGCP00","MAR",2046,0
"Greece","GRMNGGCP00","MAR",2047,0
"Greece","GRMNGGCP00","MAR",2048,0
"Greece","GRMNGGCP00","MAR",2049,0
"Greece","GRMNGGCP00","MAR",2050,0
"Greece","GRMSOC1P00","CO2",2019,0
"Greece","GRMSOC1P00","CO2",2020,0
"Greece","GRMSOC1P00","CO2",2021,0
"Greece","GRMSOC1P00","CO2",2022,0
"Greece","GRMSOC1P00","CO2",2023,0
"Greece","GRMSOC1P00","CO2",2024,0
"Greece","GRMSOC1P00","CO2",2025,0
"Greece","GRMSOC1P00","CO2",2026,0
"Greece","GRMSOC1P00","CO2",2027,0
"Greece","GRMSOC1P00","CO2",2028,0
"Greece","GRMSOC1P00","CO2",2029,0
"Greece","GRMSOC1P00","CO2",2030,0
"Greece","GRMSOC1P00","CO2",2031,0
"Greece","GRMSOC1P00","CO2",2032,0
"Greece","GRMSOC1P00","CO2",2033,0
"Greece","GRMSOC1P00","CO2",2034,0
"Greece","GRMSOC1P00","CO2",2035,0
"Greece","GRMSOC1P00","CO2",2036,0
"Greece","GRMSOC1P00","CO2",2037,0
"Greece","GRMSOC1P00","CO2",2038,0
"Greece","GRMSOC1P00","CO2",2039,0
"Greece","GRMSOC1P00","CO2",2040,0
"Greece","GRMSOC1P00","CO2",2041,0
"Greece","GRMSOC1P00","CO2",2042,0
"Greece","GRMSOC1P00","CO2",2043,0
"Greece","GRMSOC1P00","CO2",2044,0
"Greece","GRMSOC1P00","CO2",2045,0
"Greece","GRMSOC1P00","CO2",2046,0
"Greece","GRMSOC1P00","CO2",2047,0
"Greece","GRMSOC1P00","CO2",2048,0
"Greece","GRMSOC1P00","CO2",2049,0
"Greece","GRMSOC1P00","CO2",2050,0
"Greece","GRMSOC1P00","RETarget",2019,0
"Greece","GRMSOC1P00","RETarget",2020,0
"Greece","GRMSOC1P00","RETarget",2021,0
"Greece","GRMSOC1P00","RETarget",2022,0
"Greece","GRMSOC1P00","RETarget",2023,0
"Greece","GRMSOC1P00","RETarget",2024,0
"Greece","GRMSOC1P00","RETarget",2025,0
"Greece","GRMSOC1P00","RETarget",2026,0
"Greece","GRMSOC1P00","RETarget",2027,0
"Greece","GRMSOC1P00","RETarget",2028,0
"Greece","GRMSOC1P00","RETarget",2029,0
"Greece","GRMSOC1P00","RETarget",2030,0
"Greece","GRMSOC1P00","RETarget",2031,0
"Greece","GRMSOC1P00","RETarget",2032,0
"Greece","GRMSOC1P00","RETarget",2033,0
"Greece","GRMSOC1P00","RETarget",2034,0
"Greece","GRMSOC1P00","RETarget",2035,0
"Greece","GRMSOC1P00","RETarget",2036,0
"Greece","GRMSOC1P00","RETarget",2037,0
"Greece","GRMSOC1P00","RETarget",2038,0
"Greece","GRMSOC1P00","RETarget",2039,0
"Greece","GRMSOC1P00","RETarget",2040,0
"Greece","GRMSOC1P00","RETarget",2041,0
"Greece","GRMSOC1P00","RETarget",2042,0
"Greece","GRMSOC1P00","RETarget",2043,0
"Greece","GRMSOC1P00","RETarget",2044,0
"Greece","GRMSOC1P00","RETarget",2045,0
"Greece","GRMSOC1P00","RETarget",2046,0
"Greece","GRMSOC1P00","RETarget",2047,0
"Greece","GRMSOC1P00","RETarget",2048,0
"Greece","GRMSOC1P00","RETarget",2049,0
"Greece","GRMSOC1P00","RETarget",2050,0
"Greece","GRMSOC1P00","MAR",2019,0
"Greece","GRMSOC1P00","MAR",2020,0
"Greece","GRMSOC1P00","MAR",2021,0
"Greece","GRMSOC1P00","MAR",2022,0
"Greece","GRMSOC1P00","MAR",2023,0
"Greece","GRMSOC1P00","MAR",2024,0
"Greece","GRMSOC1P00","MAR",2025,0
"Greece","GRMSOC1P00","MAR",2026,0
"Greece","GRMSOC1P00","MAR",2027,0
"Greece","GRMSOC1P00","MAR",2028,0
"Greece","GRMSOC1P00","MAR",2029,0
"Greece","GRMSOC1P00","MAR",2030,0
"Greece","GRMSOC1P00","MAR",2031,0
"Greece","GRMSOC1P00","MAR",2032,0
"Greece","GRMSOC1P00","MAR",2033,0
"Greece","GRMSOC1P00","MAR",2034,0
"Greece","GRMSOC1P00","MAR",2035,0
"Greece","GRMSOC1P00","MAR",2036,0
"Greece","GRMSOC1P00","MAR",2037,0
"Greece","GRMSOC1P00","MAR",2038,0
"Greece","GRMSOC1P00","MAR",2039,0
"Greece","GRMSOC1P00","MAR",2040,0
"Greece","GRMSOC1P00","MAR",2041,0
"Greece","GRMSOC1P00","MAR",2042,0
"Greece","GRMSOC1P00","MAR",2043,0
"Greece","GRMSOC1P00","MAR",2044,0
"Greece","GRMSOC1P00","MAR",2045,0
"Greece","GRMSOC1P00","MAR",2046,0
"Greece","GRMSOC1P00","MAR",2047,0
"Greece","GRMSOC1P00","MAR",2048,0
"Greece","GRMSOC1P00","MAR",2049,0
"Greece","GRMSOC1P00","MAR",2050,0
"Greece","GRMSOU1P03","CO2",2019,0
"Greece","GRMSOU1P03","CO2",2020,0
"Greece","GRMSOU1P03","CO2",2021,0
"Greece","GRMSOU1P03","CO2",2022,0
"Greece","GRMSOU1P03","CO2",2023,0
"Greece","GRMSOU1P03","CO2",2024,0
"Greece","GRMSOU1P03","CO2",2025,0
"Greece","GRMSOU1P03","CO2",2026,0
"Greece","GRMSOU1P03","CO2",2027,0
"Greece","GRMSOU1P03","CO2",2028,0
"Greece","GRMSOU1P03","CO2",2029,0
"Greece","GRMSOU1P03","CO2",2030,0
"Greece","GRMSOU1P03","CO2",2031,0
"Greece","GRMSOU1P03","CO2",2032,0
"Greece","GRMSOU1P03","CO2",2033,0
"Greece","GRMSOU1P03","CO2",2034,0
"Greece","GRMSOU1P03","CO2",2035,0
"Greece","GRMSOU1P03","CO2",2036,0
"Greece","GRMSOU1P03","CO2",2037,0
"Greece","GRMSOU1P03","CO2",2038,0
"Greece","GRMSOU1P03","CO2",2039,0
"Greece","GRMSOU1P03","CO2",2040,0
"Greece","GRMSOU1P03","CO2",2041,0
"Greece","GRMSOU1P03","CO2",2042,0
"Greece","GRMSOU1P03","CO2",2043,0
"Greece","GRMSOU1P03","CO2",2044,0
"Greece","GRMSOU1P03","CO2",2045,0
"Greece","GRMSOU1P03","CO2",2046,0
"Greece","GRMSOU1P03","CO2",2047,0
"Greece","GRMSOU1P03","CO2",2048,0
"Greece","GRMSOU1P03","CO2",2049,0
"Greece","GRMSOU1P03","CO2",2050,0
"Greece","GRMSOU1P03","RETarget",2019,0
"Greece","GRMSOU1P03","RETarget",2020,0
"Greece","GRMSOU1P03","RETarget",2021,0
"Greece","GRMSOU1P03","RETarget",2022,0
"Greece","GRMSOU1P03","RETarget",2023,0
"Greece","GRMSOU1P03","RETarget",2024,0
"Greece","GRMSOU1P03","RETarget",2025,0
"Greece","GRMSOU1P03","RETarget",2026,0
"Greece","GRMSOU1P03","RETarget",2027,0
"Greece","GRMSOU1P03","RETarget",2028,0
"Greece","GRMSOU1P03","RETarget",2029,0
"Greece","GRMSOU1P03","RETarget",2030,0
"Greece","GRMSOU1P03","RETarget",2031,0
"Greece","GRMSOU1P03","RETarget",2032,0
"Greece","GRMSOU1P03","RETarget",2033,0
"Greece","GRMSOU1P03","RETarget",2034,0
"Greece","GRMSOU1P03","RETarget",2035,0
"Greece","GRMSOU1P03","RETarget",2036,0
"Greece","GRMSOU1P03","RETarget",2037,0
"Greece","GRMSOU1P03","RETarget",2038,0
"Greece","GRMSOU1P03","RETarget",2039,0
"Greece","GRMSOU1P03","RETarget",2040,0
"Greece","GRMSOU1P03","RETarget",2041,0
"Greece","GRMSOU1P03","RETarget",2042,0
"Greece","GRMSOU1P03","RETarget",2043,0
"Greece","GRMSOU1P03","RETarget",2044,0
"Greece","GRMSOU1P03","RETarget",2045,0
"Greece","GRMSOU1P03","RETarget",2046,0
"Greece","GRMSOU1P03","RETarget",2047,0
"Greece","GRMSOU1P03","RETarget",2048,0
"Greece","GRMSOU1P03","RETarget",2049,0
"Greece","GRMSOU1P03","RETarget",2050,0
"Greece","GRMSOU1P03","MAR",2019,0
"Greece","GRMSOU1P03","MAR",2020,0
"Greece","GRMSOU1P03","MAR",2021,0
"Greece","GRMSOU1P03","MAR",2022,0
"Greece","GRMSOU1P03","MAR",2023,0
"Greece","GRMSOU1P03","MAR",2024,0
"Greece","GRMSOU1P03","MAR",2025,0
"Greece","GRMSOU1P03","MAR",2026,0
"Greece","GRMSOU1P03","MAR",2027,0
"Greece","GRMSOU1P03","MAR",2028,0
"Greece","GRMSOU1P03","MAR",2029,0
"Greece","GRMSOU1P03","MAR",2030,0
"Greece","GRMSOU1P03","MAR",2031,0
"Greece","GRMSOU1P03","MAR",2032,0
"Greece","GRMSOU1P03","MAR",2033,0
"Greece","GRMSOU1P03","MAR",2034,0
"Greece","GRMSOU1P03","MAR",2035,0
"Greece","GRMSOU1P03","MAR",2036,0
"Greece","GRMSOU1P03","MAR",2037,0
"Greece","GRMSOU1P03","MAR",2038,0
"Greece","GRMSOU1P03","MAR",2039,0
"Greece","GRMSOU1P03","MAR",2040,0
"Greece","GRMSOU1P03","MAR",2041,0
"Greece","GRMSOU1P03","MAR",2042,0
"Greece","GRMSOU1P03","MAR",2043,0
"Greece","GRMSOU1P03","MAR",2044,0
"Greece","GRMSOU1P03","MAR",2045,0
"Greece","GRMSOU1P03","MAR",2046,0
"Greece","GRMSOU1P03","MAR",2047,0
"Greece","GRMSOU1P03","MAR",2048,0
"Greece","GRMSOU1P03","MAR",2049,0
"Greece","GRMSOU1P03","MAR",2050,0
"Greece","GRMSOV1F01","CO2",2019,0
"Greece","GRMSOV1F01","CO2",2020,0
"Greece","GRMSOV1F01","CO2",2021,0
"Greece","GRMSOV1F01","CO2",2022,0
"Greece","GRMSOV1F01","CO2",2023,0
"Greece","GRMSOV1F01","CO2",2024,0
"Greece","GRMSOV1F01","CO2",2025,0
"Greece","GRMSOV1F01","CO2",2026,0
"Greece","GRMSOV1F01","CO2",2027,0
"Greece","GRMSOV1F01","CO2",2028,0
"Greece","GRMSOV1F01","CO2",2029,0
"Greece","GRMSOV1F01","CO2",2030,0
"Greece","GRMSOV1F01","CO2",2031,0
"Greece","GRMSOV1F01","CO2",2032,0
"Greece","GRMSOV1F01","CO2",2033,0
"Greece","GRMSOV1F01","CO2",2034,0
"Greece","GRMSOV1F01","CO2",2035,0
"Greece","GRMSOV1F01","CO2",2036,0
"Greece","GRMSOV1F01","CO2",2037,0
"Greece","GRMSOV1F01","CO2",2038,0
"Greece","GRMSOV1F01","CO2",2039,0
"Greece","GRMSOV1F01","CO2",2040,0
"Greece","GRMSOV1F01","CO2",2041,0
"Greece","GRMSOV1F01","CO2",2042,0
"Greece","GRMSOV1F01","CO2",2043,0
"Greece","GRMSOV1F01","CO2",2044,0
"Greece","GRMSOV1F01","CO2",2045,0
"Greece","GRMSOV1F01","CO2",2046,0
"Greece","GRMSOV1F01","CO2",2047,0
"Greece","GRMSOV1F01","CO2",2048,0
"Greece","GRMSOV1F01","CO2",2049,0
"Greece","GRMSOV1F01","CO2",2050,0
"Greece","GRMSOV1F01","RETarget",2019,0
"Greece","GRMSOV1F01","RETarget",2020,0
"Greece","GRMSOV1F01","RETarget",2021,0
"Greece","GRMSOV1F01","RETarget",2022,0
"Greece","GRMSOV1F01","RETarget",2023,0
"Greece","GRMSOV1F01","RETarget",2024,0
"Greece","GRMSOV1F01","RETarget",2025,0
"Greece","GRMSOV1F01","RETarget",2026,0
"Greece","GRMSOV1F01","RETarget",2027,0
"Greece","GRMSOV1F01","RETarget",2028,0
"Greece","GRMSOV1F01","RETarget",2029,0
"Greece","GRMSOV1F01","RETarget",2030,0
"Greece","GRMSOV1F01","RETarget",2031,0
"Greece","GRMSOV1F01","RETarget",2032,0
"Greece","GRMSOV1F01","RETarget",2033,0
"Greece","GRMSOV1F01","RETarget",2034,0
"Greece","GRMSOV1F01","RETarget",2035,0
"Greece","GRMSOV1F01","RETarget",2036,0
"Greece","GRMSOV1F01","RETarget",2037,0
"Greece","GRMSOV1F01","RETarget",2038,0
"Greece","GRMSOV1F01","RETarget",2039,0
"Greece","GRMSOV1F01","RETarget",2040,0
"Greece","GRMSOV1F01","RETarget",2041,0
"Greece","GRMSOV1F01","RETarget",2042,0
"Greece","GRMSOV1F01","RETarget",2043,0
"Greece","GRMSOV1F01","RETarget",2044,0
"Greece","GRMSOV1F01","RETarget",2045,0
"Greece","GRMSOV1F01","RETarget",2046,0
"Greece","GRMSOV1F01","RETarget",2047,0
"Greece","GRMSOV1F01","RETarget",2048,0
"Greece","GRMSOV1F01","RETarget",2049,0
"Greece","GRMSOV1F01","RETarget",2050,0
"Greece","GRMSOV1F01","MAR",2019,0
"Greece","GRMSOV1F01","MAR",2020,0
"Greece","GRMSOV1F01","MAR",2021,0
"Greece","GRMSOV1F01","MAR",2022,0
"Greece","GRMSOV1F01","MAR",2023,0
"Greece","GRMSOV1F01","MAR",2024,0
"Greece","GRMSOV1F01","MAR",2025,0
"Greece","GRMSOV1F01","MAR",2026,0
"Greece","GRMSOV1F01","MAR",2027,0
"Greece","GRMSOV1F01","MAR",2028,0
"Greece","GRMSOV1F01","MAR",2029,0
"Greece","GRMSOV1F01","MAR",2030,0
"Greece","GRMSOV1F01","MAR",2031,0
"Greece","GRMSOV1F01","MAR",2032,0
"Greece","GRMSOV1F01","MAR",2033,0
"Greece","GRMSOV1F01","MAR",2034,0
"Greece","GRMSOV1F01","MAR",2035,0
"Greece","GRMSOV1F01","MAR",2036,0
"Greece","GRMSOV1F01","MAR",2037,0
"Greece","GRMSOV1F01","MAR",2038,0
"Greece","GRMSOV1F01","MAR",2039,0
"Greece","GRMSOV1F01","MAR",2040,0
"Greece","GRMSOV1F01","MAR",2041,0
"Greece","GRMSOV1F01","MAR",2042,0
"Greece","GRMSOV1F01","MAR",2043,0
"Greece","GRMSOV1F01","MAR",2044,0
"Greece","GRMSOV1F01","MAR",2045,0
"Greece","GRMSOV1F01","MAR",2046,0
"Greece","GRMSOV1F01","MAR",2047,0
"Greece","GRMSOV1F01","MAR",2048,0
"Greece","GRMSOV1F01","MAR",2049,0
"Greece","GRMSOV1F01","MAR",2050,0
"Greece","GRMWIP00","CO2",2019,0
"Greece","GRMWIP00","CO2",2020,0
"Greece","GRMWIP00","CO2",2021,0
"Greece","GRMWIP00","CO2",2022,0
"Greece","GRMWIP00","CO2",2023,0
"Greece","GRMWIP00","CO2",2024,0
"Greece","GRMWIP00","CO2",2025,0
"Greece","GRMWIP00","CO2",2026,0
"Greece","GRMWIP00","CO2",2027,0
"Greece","GRMWIP00","CO2",2028,0
"Greece","GRMWIP00","CO2",2029,0
"Greece","GRMWIP00","CO2",2030,0
"Greece","GRMWIP00","CO2",2031,0
"Greece","GRMWIP00","CO2",2032,0
"Greece","GRMWIP00","CO2",2033,0
"Greece","GRMWIP00","CO2",2034,0
"Greece","GRMWIP00","CO2",2035,0
"Greece","GRMWIP00","CO2",2036,0
"Greece","GRMWIP00","CO2",2037,0
"Greece","GRMWIP00","CO2",2038,0
"Greece","GRMWIP00","CO2",2039,0
"Greece","GRMWIP00","CO2",2040,0
"Greece","GRMWIP00","CO2",2041,0
"Greece","GRMWIP00","CO2",2042,0
"Greece","GRMWIP00","CO2",2043,0
"Greece","GRMWIP00","CO2",2044,0
"Greece","GRMWIP00","CO2",2045,0
"Greece","GRMWIP00","CO2",2046,0
"Greece","GRMWIP00","CO2",2047,0
"Greece","GRMWIP00","CO2",2048,0
"Greece","GRMWIP00","CO2",2049,0
"Greece","GRMWIP00","CO2",2050,0
"Greece","GRMWIP00","RETarget",2019,0
"Greece","GRMWIP00","RETarget",2020,0
"Greece","GRMWIP00","RETarget",2021,0
"Greece","GRMWIP00","RETarget",2022,0
"Greece","GRMWIP00","RETarget",2023,0
"Greece","GRMWIP00","RETarget",2024,0
"Greece","GRMWIP00","RETarget",2025,0
"Greece","GRMWIP00","RETarget",2026,0
"Greece","GRMWIP00","RETarget",2027,0
"Greece","GRMWIP00","RETarget",2028,0
"Greece","GRMWIP00","RETarget",2029,0
"Greece","GRMWIP00","RETarget",2030,0
"Greece","GRMWIP00","RETarget",2031,0
"Greece","GRMWIP00","RETarget",2032,0
"Greece","GRMWIP00","RETarget",2033,0
"Greece","GRMWIP00","RETarget",2034,0
"Greece","GRMWIP00","RETarget",2035,0
"Greece","GRMWIP00","RETarget",2036,0
"Greece","GRMWIP00","RETarget",2037,0
"Greece","GRMWIP00","RETarget",2038,0
"Greece","GRMWIP00","RETarget",2039,0
"Greece","GRMWIP00","RETarget",2040,0
"Greece","GRMWIP00","RETarget",2041,0
"Greece","GRMWIP00","RETarget",2042,0
"Greece","GRMWIP00","RETarget",2043,0
"Greece","GRMWIP00","RETarget",2044,0
